Index,Title,Author,Year,URL,DOI,Journal,Type,Status,FilePath,Abstract
14,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles","Zhang, Yu and Sun, Jingwei and Feng, Li and Yao, Cen and Fan, Mingming and Zhang, Liuxin and Wang, Qianying and Geng, Xin and Rui, Yong",2024,https://doi.org/10.1145/3613904.3642545,10.1145/3613904.3642545,,inproceedings,Failed,,"The proliferation of AI-powered search and recommendation systems has accelerated the formation of “filter bubbles” that reinforce people’s biases and narrow their perspectives. Previous research has attempted to address this issue by increasing the diversity of information exposure, which is oft..."
15,MAF-ID: Multi-Agent Framework for Interactive Dubbing through Deep Video Understanding,"Hu, Zhanbin and He, Xiaodong and Pan, Renzhou and Zeng, Xianzhou and Fan, Chenming and Zhu, Qiang",2024,https://doi.org/10.1145/3664647.3684992,10.1145/3664647.3684992,,inproceedings,Failed,,"In the domain of video generation, Text-to-video suffers from a notable application gap due to lack of audio that harmonizes with the visual content. Current solutions typically dubbing based solely on the original text used for generate video, which causes a mismatch between the video content an..."
16,Tutorial on Landing Generative AI in Industrial Social and E-commerce Recsys,"Xu, Da and Zhang, Danqing and Zheng, Lingling and Yang, Bo and Yang, Guangyu and Xu, Shuyuan and Liang, Cindy",2024,https://doi.org/10.1145/3627673.3679099,10.1145/3627673.3679099,,inproceedings,Failed,,"Over the past two years, GAI has evolved rapidly, influencing various fields including social and e-commerce Recsys. Despite exciting advances, landing these innovations in real-world Recsys remains challenging due to the sophistication of modern industrial product and systems. Our tutorial begin..."
17,Advancing the Search Frontier with AI Agents,"White, Ryen W.",2024,https://doi.org/10.1145/3655615,10.1145/3655615,Commun. ACM,article,Failed,,AI agents are extending the capabilities of traditional search engines to help users tackle complex tasks.
18,Agent-Driven Automatic Software Improvement,"Vallecillos Ruiz, Fernando",2024,https://doi.org/10.1145/3661167.3661171,10.1145/3661167.3661171,,inproceedings,Failed,,"With software maintenance accounting for 50\% of the cost of developing software, enhancing code quality and reliability has become more critical than ever. In response to this challenge, this doctoral research proposal aims to explore innovative solutions by focusing on the deployment of agents ..."
19,AutoAgents: a framework for automatic agent generation,"Chen, Guangyao and Dong, Siwei and Shu, Yu and Zhang, Ge and Sesay, Jaward and Karlsson, B\""{o",2024,https://doi.org/10.24963/ijcai.2024/3,10.24963/ijcai.2024/3,,inproceedings,Unknown,,"Large language models (LLMs) have enabled remarkable advances in automated task-solving with multi-agent systems. However, most existing LLM-based multi-agent approaches rely on predefined agents to handle simple tasks, limiting the adaptability of multi-agent collaboration to different scenarios..."
20,AI for social science and social science of AI: A survey,"Xu, Ruoxi and Sun, Yingfei and Ren, Mengjie and Guo, Shiguang and Pan, Ruotong and Lin, Hongyu and Sun, Le and Han, Xianpei",2024,https://doi.org/10.1016/j.ipm.2024.103665,10.1016/j.ipm.2024.103665,Inf. Process. Manage.,article,Failed,,
21,Visibility into AI Agents,"Chan, Alan and Ezell, Carson and Kaufmann, Max and Wei, Kevin and Hammond, Lewis and Bradley, Herbie and Bluemke, Emma and Rajkumar, Nitarshan and Krueger, David and Kolt, Noam and Heim, Lennart and Anderljung, Markus",2024,https://doi.org/10.1145/3630106.3658948,10.1145/3630106.3658948,,inproceedings,Failed,,"Increased delegation of commercial, scientific, governmental, and personal activities to AI agents—systems capable of pursuing complex goals with limited supervision—may exacerbate existing societal risks and introduce new risks. Understanding and mitigating these risks involves critically evalua..."
22,ProAgent: building proactive cooperative agents with large language models,"Zhang, Ceyao and Yang, Kaijie and Hu, Siyi and Wang, Zihao and Li, Guanghe and Sun, Yihang and Zhang, Cheng and Zhang, Zhaowei and Liu, Anji and Zhu, Song-Chun and Chang, Xiaojun and Zhang, Junge and Yin, Feng and Liang, Yitao and Yang, Yaodong",2024,https://doi.org/10.1609/aaai.v38i16.29710,10.1609/aaai.v38i16.29710,,inproceedings,Unknown,,"Building agents with adaptive behavior in cooperative tasks stands as a paramount goal in the realm of multi-agent systems. Current approaches to developing cooperative agents rely primarily on learning-based methods, whose policy generalization depends heavily on the diversity of teammates they ..."
23,Sentimental Agents: Combining Sentiment Analysis and Non-Bayesian Updating for Cooperative Decision-Making,"Orner, Daniele and Ondula, Elizabeth Akinyi and Mumero Mwangi, Nick and Goyal, Richa",2024,,,,inproceedings,Failed,,"With ongoing exploration of Large Language Model (LLM)-based multi-agent systems, it is becoming increasingly important to understand and interpret the dynamics of agent interactions and their beliefs, particularly when designed to emulate diverse roles and perspectives or to engage in debates. A..."
24,Amplifying Minority Voices: AI-Mediated Devil's Advocate System for Inclusive Group Decision-Making,"Lee, SooHwan and Kim, Mingyu and Hwang, Seoyeong and Kim, Dajung and Lee, Kyungho",2025,https://doi.org/10.1145/3708557.3716334,10.1145/3708557.3716334,,inproceedings,Failed,,"Group decision-making often benefits from diverse perspectives, yet power imbalances and social influence can stifle minority opinions and compromise outcomes. This prequel introduces an AI-mediated communication system that leverages the Large Language Model to serve as a devil’s advocate, repre..."
25,Large language model based multi-agents: a survey of progress and challenges,"Guo, Taicheng and Chen, Xiuying and Wang, Yaqi and Chang, Ruidi and Pei, Shichao and Chawla, Nitesh V. and Wiest, Olaf and Zhang, Xiangliang",2024,https://doi.org/10.24963/ijcai.2024/890,10.24963/ijcai.2024/890,,inproceedings,Unknown,,"Large Language Models (LLMs) have achieved remarkable success across a wide array of tasks. Due to their notable capabilities in planning and reasoning, LLMs have been utilized as autonomous agents for the automatic execution of various tasks. Recently, LLM-based agent systems have rapidly evolve..."
26,A Learnable Agent Collaboration Network Framework for Personalized Multimodal AI Search Engine,"Shi, Yunxiao and Xu, Min and Zhang, Haimin and Zi, Xing and Wu, Qiang",2024,https://doi.org/10.1145/3689091.3690087,10.1145/3689091.3690087,,inproceedings,Failed,,"Large language models (LLMs) and retrieval-augmented generation (RAG) techniques have revolutionized traditional information access, enabling AI agent to search and summarize information on behalf of users during dynamic dialogues. Despite their potential, current AI search engines exhibit consid..."
27,Agent Smith: a single image can jailbreak one million multimodal LLM agents exponentially fast,"Gu, Xiangming and Zheng, Xiaosen and Pang, Tianyu and Du, Chao and Liu, Qian and Wang, Ye and Jiang, Jing and Lin, Min",2024,,,,inproceedings,Failed,,"A multimodal large language model (MLLM) agent can receive instructions, capture images, retrieve histories from memory, and decide which tools to use. Nonetheless, red-teaming efforts have revealed that adversarial images/prompts can jailbreak an MLLM and cause unaligned behaviors. In this work,..."
28,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,"Yue, Ling and Xing, Sixue and Chen, Jintai and Fu, Tianfan",2024,https://doi.org/10.1145/3698587.3701359,10.1145/3698587.3701359,,inproceedings,Failed,,"Large Language Models (LLMs) and multi-agent systems have shown impressive capabilities in natural language tasks but face challenges in clinical trial applications, primarily due to limited access to external knowledge. Recognizing the potential of advanced clinical trial tools that aggregate an..."
29,Focus Agent: LLM-Powered Virtual Focus Group,"Zhang, Taiyu and Zhang, Xuesong and Cools, Robbe and Simeone, Adalberto",2024,https://doi.org/10.1145/3652988.3673918,10.1145/3652988.3673918,,inproceedings,Failed,,"In the domain of Human-Computer Interaction, focus groups represent a widely utilised yet resource-intensive methodology, often demanding the expertise of skilled moderators and meticulous preparatory efforts. This study introduces the “Focus Agent,” a Large Language Model (LLM) powered framework..."
30,BuildingSage: A safe and secure AI copilot for smart buildings,"Dedeoglu, Volkan and Zhang, Qianggong and Li, Yang and Liu, Jiajun and Sethuvenkatraman, Subbu",2024,https://doi.org/10.1145/3671127.3699677,10.1145/3671127.3699677,,inproceedings,Failed,,"The dawn of Generative AI is promising to deliver various benefits across all walks of life, including the built environment sector. While there are many opportunities, sharing proprietary and sensitive data with large generative AI models is seen as a risk when adopting them at the enterprise le..."
31,Mitigating reasoning hallucination through Multi-agent Collaborative Filtering,"Shi, Jinxin and Zhao, Jiabao and Wu, Xingjiao and Xu, Ruyi and Jiang, Yuan-Hao and He, Liang",2025,https://doi.org/10.1016/j.eswa.2024.125723,10.1016/j.eswa.2024.125723,Expert Syst. Appl.,article,Failed,,
32,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,"Zhang, Sai and Xing, Zhenchang and Guo, Ronghui and Xu, Fangzhou and Chen, Lei and Zhang, Zhaoyuan and Zhang, Xiaowang and Feng, Zhiyong and Zhuang, Zhiqiang",2025,https://doi.org/10.1145/3702987,10.1145/3702987,ACM Trans. Softw. Eng. Methodol.,article,Failed,,"In software development, the raw requirements proposed by users are frequently incomplete, which impedes the complete implementation of software functionalities. With the emergence of large language models, the exploration of generating software through user requirements has attracted attention. ..."
33,Incorporation of Military Doctrines and Objectives into an AI Agent via Natural Language and Reward in Reinforcement Learning,"M\""{o",2024,,,,inproceedings,Failed,,"This paper emphasizes the integration of sound tactical behavior in the generation of realistic military simulations, which includes the definition of combat tactics, doctrine, rules of engagement, and concepts of operations. Recent advances in reinforcement learning (RL) enable RL agents to gene..."
34,Poster: Repairing Bugs with the Introduction of New Variables: A Multi-Agent Large Language Model,"Zhang, Elisa and Sun, Shiyu and Xing, Yunlong and Sun, Kun",2024,https://doi.org/10.1145/3658644.3691412,10.1145/3658644.3691412,,inproceedings,Failed,,"Trained on billions of tokens, large language models (LLMs) have a broad range of empirical knowledge which enables them to generate software patches with complex repair patterns. We leverage the powerful code-fixing capabilities of LLMs and propose VarPatch, a multi-agent conversational automate..."
35,Social learning through interactions with other agents: a survey,"Hillier, Dylan and Tan, Cheston and Jiang, Jing",2024,https://doi.org/10.24963/ijcai.2024/892,10.24963/ijcai.2024/892,,inproceedings,Unknown,,"Social learning plays an important role in the development of human intelligence. As children, we imitate our parents' speech patterns until we are able to produce sounds; we learn from them praising us and scolding us; and as adults, we learn by working with others. In this work, we survey the d..."
36,Curriculum Interleaved Online Behavior Cloning for Complex Reinforcement Learning Applications,"M\""{o",2025,,,,inproceedings,Failed,,"This paper introduces Curriculum Interleaved Online Behavior Cloning (IOBC) as an approach to train agents for military operations, addressing not only the challenges posed by complex and dynamic combat scenarios but also how military doctrines and strategies are transferred to these agents. It h..."
37,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,"Chen, Bei and Li, Gaolei and Lin, Xi and Wang, Zheng and Li, Jianhua",2024,https://doi.org/10.1145/3674399.3674445,10.1145/3674399.3674445,,inproceedings,Failed,,"Recent advancements in multi-agent systems based on large language models (LLM) have shown potential for problem-solving and planning tasks. However, most existing LLM-based multi-agent approaches show vulnerability against byzantine attacks. First, agents instantiated on diverse LLMs may inherit..."
38,Large Language Models and Video Games: A Preliminary Scoping Review,"Sweetser, Penny",2024,https://doi.org/10.1145/3640794.3665582,10.1145/3640794.3665582,,inproceedings,Failed,,"Large language models (LLMs) hold interesting potential for the design, development, and research of video games. Building on the decades of prior research on generative AI in games, many researchers have sped to investigate the power and potential of LLMs for games. Given the recent spike in LLM..."
39,Methodology for Quality Assurance Testing of LLM-based Multi-Agent Systems,"Shamim, Isha and Singhal, Rekha",2025,https://doi.org/10.1145/3703412.3703439,10.1145/3703412.3703439,,inproceedings,Failed,,"Large Language Models (LLMs) based Multi-Agent Systems (MAS) are a rapidly emerging field with great potential to optimize workflows across various industries. However, the unpredictable and hallucinating nature of LLMs prevents the industries from deploying MAS to production. Currently, no softw..."
40,Addressing Past Tense Temporal Attacks in Large Language Models through Multiple Methods,"Zhai, Nai-ji and Tuo, Xianyi and Jin, Zhishuo",2025,https://doi.org/10.1145/3704217.3705008,10.1145/3704217.3705008,,inproceedings,Failed,,"Several previous studies highlight the problems that several state-of-art large language models are vulnerable under past tense attack (e.g.,” How to make a Molotov cocktail?” to” How did people make a Molotov cocktail?”). In this paper, we try several methods to address this problem on GPT-3.5-T..."
41,HMSC-LLMs: A Hierarchical Multi-agent Service Composition Method Based on Large Language Models,"Liao, Xingchuang and Wu, Wenjun and Yu, Xiaoming and Ji, Xin and Chen, Yiting and Li, Junting",2024,https://doi.org/10.1007/978-981-96-0576-7_34,10.1007/978-981-96-0576-7_34,,inproceedings,Failed,,"The rapid progress of large language models (LLMs) has been applied successfully in service composition and scheduling. However, LLMs will exhibit poor performance when dealing with massive service and complex tasks. To address this challenge, this paper proposes the HMSC-LLMs method, a novel hie..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
43,Meta GPT-Based Agent for Enhanced Phishing Email Detection,"Ling, Feng and Yang, Hao and Xiao, Yongcai and Hu, Lei",2025,https://doi.org/10.1145/3711618.3711619,10.1145/3711618.3711619,,inproceedings,Failed,,"Phishing emails are a common means of phishing and their detection is an important aspect of email security. In this study, Meta Phishing Detector Agent system is designed, which is constructed based on Meta GPT framework and uses LLMs as the core of agent to detect phishing emails. The agent has..."
44,Forensic Analysis of Artifacts from Microsoft's Multi-Agent LLM Platform AutoGen,"Walker, Clinton and Gharaibeh, Taha and Alsmadi, Ruba and Hall, Cory and Baggili, Ibrahim",2024,https://doi.org/10.1145/3664476.3670908,10.1145/3664476.3670908,,inproceedings,Failed,,"Innovations in technology bring new challenges that need to be addressed, especially in the field of technical artifact discovery and analysis that enables digital forensic practitioners. Digital forensic analysis of these innovations is a constant challenge for digital investigators. In the rapi..."
45,A Survey of Theory Foundation and Key Technology in Large Models,"Zhang, Xueqiang and Dong, Xiaofei and Wang, Yiru and Zhang, Dan and Cao, Feng",2025,https://doi.org/10.1145/3707292.3707383,10.1145/3707292.3707383,,inproceedings,Failed,,"The training and reasoning technology of large models continues to go deeper and more practical, and the model performance continues to hit new highs, driving the emergence of intelligent native applications and laying a solid technical foundation for new applications, new services, and new forma..."
46,Agents with foundation models: advance and vision,"Gong, Chenghua and Li, Xiang",2024,https://doi.org/10.1007/s11704-024-40311-2,10.1007/s11704-024-40311-2,Front. Comput. Sci.,article,Failed,,
47,Towards the development of believable agents: Adopting neural architectures and adaptive neuro-fuzzy inference system via playback of human traces,"Butt, Naveed Anwer and Awais, Mian Muhammad and Shahzadi, Samra and Kim, Tai-hoon and Ashraf, Imran",2024,https://doi.org/10.1016/j.jksuci.2024.102182,10.1016/j.jksuci.2024.102182,J. King Saud Univ. Comput. Inf. Sci.,article,Failed,,
48,R2-Bench: Benchmarking the Robustness of Referring Perception Models Under Perturbations,"Li, Xiang and Qiu, Kai and Wang, Jinglu and Xu, Xiaohao and Singh, Rita and Yamazaki, Kashu and Chen, Hao and Huang, Xiaonan and Raj, Bhiksha",2024,https://doi.org/10.1007/978-3-031-72673-6_12,10.1007/978-3-031-72673-6_12,,inproceedings,Unknown,,"Referring perception, which aims at grounding visual objects with multimodal referring guidance, is essential for bridging the gap between humans, who provide instructions, and the environment where intelligent systems perceive. Despite progress in this field, the robustness of referring percepti..."
49,PTGroup: An Automated Penetration Testing Framework Using LLMs and Multiple Prompt Chains,"Wu, Lei and Zhong, Xiaofeng and Liu, Jingju and Wang, Xiang",2024,https://doi.org/10.1007/978-981-97-5606-3_19,10.1007/978-981-97-5606-3_19,,inproceedings,Failed,,"Penetration testing is an effective means of maintaining network security. To address the challenge of high labor costs in traditional penetration testing, researchers have been investigating the potential of automated solutions. In this paper, we introduce an automated penetration testing framew..."
50,A Prototype Design of LLM-Based Autonomous Web Crowdsensing,"Zhu, Zhengqiu and Ji, Yatai and Qiu, Sihang and Zhao, Yong and Xu, Kai and Ju, Rusheng and Chen, Bin",2024,https://doi.org/10.1007/978-3-031-62362-2_34,10.1007/978-3-031-62362-2_34,,inproceedings,Success,papers/A Prototype Design of LLM-Based Autonomous Web Crowdsensing_2024.pdf,"The expanded demands of complex sensing campaigns involving Cyber-Physical-Social spaces have brought forth a multitude of challenges for web crowdsensing applications, such as substantial human efforts, potential user privacy breaches, and interest diminishes of users. Significant advancements h..."
51,Large Language Model Supply Chain: A Research Agenda,"Wang, Shenao and Zhao, Yanjie and Hou, Xinyi and Wang, Haoyu",2024,https://doi.org/10.1145/3708531,10.1145/3708531,ACM Trans. Softw. Eng. Methodol.,article,Failed,,"The rapid advancement of large language models (LLMs) has revolutionized artificial intelligence, introducing unprecedented capabilities in natural language processing and multimodal content generation. However, the increasing complexity and scale of these models have given rise to a multifaceted..."
52,Collaboration to Repository-Level Vulnerability Detection,"Wen, Xin-Cheng",2024,https://doi.org/10.1145/3650212.3685562,10.1145/3650212.3685562,,inproceedings,Failed,,"Large Language Model (LLM)-based methods have proven to be effective for many software engineering domains, with a potential for substantial productivity effective for software vulnerability detection. 
 
 
 
However, due to the limitation of the length of input contexts of LLM, the existing LLM-..."
53,A survey on large language model based autonomous agents,"Wang, Lei and Ma, Chen and Feng, Xueyang and Zhang, Zeyu and Yang, Hao and Zhang, Jingsen and Chen, Zhiyuan and Tang, Jiakai and Chen, Xu and Lin, Yankai and Zhao, Wayne Xin and Wei, Zhewei and Wen, Jirong",2024,https://doi.org/10.1007/s11704-024-40231-1,10.1007/s11704-024-40231-1,Front. Comput. Sci.,article,Success,papers/A survey on large language model based autonomous agents_2024.pdf,"Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-li..."
54,Agent-DA: Enhancing low-resource event extraction with collaborative multi-agent data augmentation,"Tian, Xuemeng and Guo, Yikai and Ge, Bin and Yuan, Xiaoguang and Zhang, Hang and Yang, Yuting and Ke, Wenjun and Li, Guozheng",2025,https://doi.org/10.1016/j.knosys.2024.112625,10.1016/j.knosys.2024.112625,Know.-Based Syst.,article,Failed,,
55,Advancing Sample Efficiency and Explainability in Multi-Agent Reinforcement Learning,"Zhang, Zhicheng",2024,,,,inproceedings,Failed,,"Multi-Agent Reinforcement Learning (MARL) holds promise for complex real-world applications but faces challenges in sample efficiency and policy explainability. My dissertation aims to address these critical barriers, advancing MARL towards more practical and interpretable systems. To boost sampl..."
56,Collective Computational Intelligence Challenges and Opportunities,"Jedrzejowicz, Piotr",2024,https://doi.org/10.1007/978-3-031-70816-9_1,10.1007/978-3-031-70816-9_1,,inproceedings,Failed,,"The paper discusses current challenges and opportunities facing models, techniques, and algorithms in the broadly understood field of computational collective intelligence (CCI). We propose ordering classes of the CCI systems into generations. The first generation CCI systems do not use artificia..."
57,Benchmarking AI in Mental Health: A Critical Examination of LLMs Across Key Performance and Ethical Metrics,"Yuan, Rui and Hao, Wanting and Yuan, Chun",2024,https://doi.org/10.1007/978-3-031-78104-9_24,10.1007/978-3-031-78104-9_24,,inproceedings,Failed,,"The rapid advancement of artificial intelligence (AI) has led to an increasing application of Large Language Models (LLMs) in psychological counseling. This study focuses on a comprehensive evaluation of LLMs in this domain, moving beyond traditional case-based reasoning. We introduce a novel mul..."
58,Navigating the Unknown: A Chat-Based Collaborative Interface for Personalized Exploratory Tasks,"Peng, Yingzhe and Qin, Xiaoting and Zhang, Zhiyang and Zhang, Jue and Lin, Qingwei and Yang, Xu and Zhang, Dongmei and Rajmohan, Saravan and Zhang, Qi",2025,https://doi.org/10.1145/3708359.3712093,10.1145/3708359.3712093,,inproceedings,Failed,,"The rise of large language models (LLMs) has revolutionized user interactions with knowledge-based systems, enabling chatbots to synthesize vast amounts of information and assist with complex, exploratory tasks. However, LLM-based chatbots often struggle to provide personalized support, particula..."
59,Emergence in Multi-agent Systems: A Safety Perspective,"Altmann, Philipp and Sch\""{o",2024,https://doi.org/10.1007/978-3-031-75107-3_7,10.1007/978-3-031-75107-3_7,,inproceedings,Failed,,"Emergent effects can arise in multi-agent systems (MAS) where execution is decentralized and reliant on local information. These effects may range from minor deviations in behavior to catastrophic system failures. To formally define these effects, we identify misalignments between the global inhe..."
60,Scalable and Robust Online Learning for AI-powered Networked Systems,"Liu, Xutong",2025,https://doi.org/10.1145/3712170.3712183,10.1145/3712170.3712183,SIGMETRICS Perform. Eval. Rev.,article,Failed,,"In today's world of pervasive connectivity and intelligent technologies, modern networked systems-ranging from sprawling data centers to large-scale Internet of Things (IoT) systems-have grown by leaps and bounds, unlocking numerous transformative services, like smart cities, immersive mixed real..."
61,Fully Autonomous Programming using Iterative Multi-Agent Debugging with Large Language Models,"Grishina, Anastasiia and Liventsev, Vadim and H\""{a",2025,https://doi.org/10.1145/3719351,10.1145/3719351,ACM Trans. Evol. Learn. Optim.,article,Failed,,"Program synthesis with Large Language Models (LLMs) suffers from a “near-miss syndrome”: the generated code closely resembles a correct solution but fails unit tests due to minor errors. We address this with a multi-agent framework called Synthesize, Execute, Instruct, Debug, and Repair (SEIDR). ..."
62,Large Language Model Assissted Multi-Agent Dialogue for Ontology Alignment,"Zhang, Shiyao and Dong, Yuji and Zhang, Yichuan and Payne, Terry R. and Zhang, Jie",2024,,,,inproceedings,Failed,,"Ontology alignment is critical in cross-domain integration; however, it typically necessitates the involvement of a human domain-expert, which can make the task costly. Although a variety of machine-learning approaches have been proposed that can simplify this task by learning the patterns from e..."
63,AAMAS '24: Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,2024,,,,proceedings,Failed,,"Welcome to AAMAS-2024, the 23th edition of the International Conference on Autonomous Agents and Multiagent Systems!AAMAS is the largest and most influential conference in the area of agents and multiagent systems, bringing together researchers and practitioners in all areas of agent technology a..."
64,FHIRViz: Multi-Agent Platform for FHIR Visualization to Advance Healthcare Analytics,"ALMutairi, Mariam and AlKulaib, Lulwah and Wang, Shengkun and Chen, Zhiqian and ALMutairi, Youssif and Alenazi, Thamer M. and Luther, Kurt and Lu, Chang-Tien",2024,https://doi.org/10.1145/3698587.3701392,10.1145/3698587.3701392,,inproceedings,Failed,,"The shift to electronic health records (EHRs) has enhanced patient care and research, but data sharing and complex clinical terminology remain challenges. The Fast Healthcare Interoperability Resource (FHIR) addresses interoperability issues, though extracting insights from FHIR data is still dif..."
65,"Neuro-Symbolic AI + Agent Systems: A First Reflection on Trends, Opportunities and Challenges","Belle, Vaishak and Fisher, Michael and Russo, Alessandra and Komendantskaya, Ekaterina and Nottle, Alistair",2023,https://doi.org/10.1007/978-3-031-56255-6_10,10.1007/978-3-031-56255-6_10,,inproceedings,Failed,,"To get one step closer to “human-like” intelligence, we need systems capable of seamlessly combining the neural learning power of symbolic feature extraction from raw data with sophisticated symbolic inference mechanisms for reasoning about “high-level” concepts. It is important to also incorpora..."
